OcutimeStamp,UnityTimeStamp,cameraPosition.x,cameraPosition.y,cameraPosition.z,cameraRotation.x,cameraRotation.y,cameraRotation.z,cameraRotation.w,meanBasePoint.x,meanBasePoint.y,meanBasePoint.z,meanGazeDirection.x,meanGazeDirection.y,meanGazeDirection.z,leftBasePoint.x,leftBasePoint.y,leftBasePoint.z,rightBasePoint.x,rightBasePoint.y,rightBasePoint.z,leftEyeDirection.x,leftEyeDirection.y,leftEyeDirection.z,rightEyeDirection.x,rightEyeDirection.y,rightEyeDirection.z,pupilDiameterL,pupilDiameterR,valB,valL,valR
3617550,63781060290812,-15.25508,2.248363,0.09097937,-0.08001214,0.9733467,0.0506589,-0.2088729,0.0144606,-0.001390289,-0.02313913,0.04689026,0.02085876,0.9986725,0.03182865,-0.0005268402,-0.02267903,0.03182865,-0.0005268402,-0.02267903,0.0609436,0.02450562,0.9978333,0.0609436,0.02450562,0.9978333,2.688354,2.688354,True,True,True
3617558,63781060290812,-15.25508,2.248363,0.09097937,-0.08001214,0.9733467,0.0506589,-0.2088729,0.01292876,-0.001472992,-0.02315915,0.04682922,0.0206604,0.9986877,0.03183071,-0.0005341797,-0.02265495,0.03183071,-0.0005341797,-0.02265495,0.06147766,0.0242157,0.9978027,0.06147766,0.0242157,0.9978027,2.697479,2.697479,True,True,True
3617567,63781060290812,-15.25508,2.248363,0.09097937,-0.08001214,0.9733467,0.0506589,-0.2088729,0.008309998,-0.001708725,-0.02326593,0.04457092,0.02020264,0.9987946,0.03183277,-0.0005415344,-0.02263088,0.03183277,-0.0005415344,-0.02263088,0.06201172,0.02386475,0.9977875,0.06201172,0.02386475,0.9977875,2.7061,2.7061,True,True,True
3617575,63781060290812,-15.25508,2.248363,0.09097937,-0.08001214,0.9733467,0.0506589,-0.2088729,0.004181961,-0.001915802,-0.0233712,0.0413208,0.01963806,0.9989471,0.03183412,-0.0005439606,-0.02262328,0.03183412,-0.0005439606,-0.02262328,0.06207275,0.02360535,0.9977875,0.06207275,0.02360535,0.9977875,2.69783,2.69783,True,True,True
3617583,63781060290812,-15.25508,2.248363,0.09097937,-0.08001214,0.9733467,0.0506589,-0.2088729,0.0008778839,-0.002081909,-0.02345683,0.03872681,0.01980591,0.9990387,0.03183548,-0.000546402,-0.02261568,0.03183548,-0.000546402,-0.02261568,0.06225586,0.02407837,0.997757,0.06225586,0.02407837,0.997757,2.706619,2.706619,True,True,True
3617592,63781060290812,-15.25508,2.248363,0.09097937,-0.08001214,0.9733467,0.0506589,-0.2088729,-0.001597061,-0.002205551,-0.02352292,0.03677368,0.01928711,0.9991302,0.03183698,-0.0005480347,-0.02261093,0.03183698,-0.0005480347,-0.02261093,0.06282043,0.02389526,0.9977264,0.06282043,0.02389526,0.9977264,2.709595,2.709595,True,True,True
3617600,63781060359613,-15.19286,2.768724,-0.9457875,-0.001755129,0.9961876,-0.02260013,-0.08424106,-0.002808746,-0.00226648,-0.02355269,0.03555298,0.01942444,0.999176,0.03183847,-0.0005496674,-0.02260617,0.03183847,-0.0005496674,-0.02260617,0.06295776,0.02424622,0.9977112,0.06295776,0.02424622,0.9977112,2.706985,2.706985,True,True,True
3617608,63781060359619,-15.19284,2.76872,-0.9458619,-0.001839353,0.9961839,-0.02264468,-0.0842704,-0.00340709,-0.002297348,-0.02356603,0.03459167,0.01951599,0.9992065,0.03184041,-0.000552597,-0.02259949,0.03184041,-0.000552597,-0.02259949,0.06283569,0.02458191,0.9977112,0.06283569,0.02458191,0.9977112,2.713058,2.713058,True,True,True
3617617,63781060359627,-15.19287,2.768753,-0.9458683,-0.00182102,0.9961891,-0.02257414,-0.08422874,-0.00329895,-0.002292923,-0.02355653,0.03395081,0.0199585,0.9992218,0.03184181,-0.000555069,-0.02258486,0.03184181,-0.000555069,-0.02258486,0.06234741,0.02432251,0.997757,0.06234741,0.02432251,0.997757,2.724686,2.724686,True,True,True
3617625,63781060359639,-15.19286,2.768726,-0.9459112,-0.001962937,0.9961886,-0.02256911,-0.08423201,-0.002941879,-0.002275879,-0.02354469,0.03460693,0.02064514,0.999176,0.03184558,-0.0005562439,-0.02258049,0.03184558,-0.0005562439,-0.02258049,0.06304932,0.0242157,0.9977112,0.06304932,0.0242157,0.9977112,2.726166,2.726166,True,True,True
3617633,63781060359639,-15.19286,2.768726,-0.9459112,-0.001962937,0.9961886,-0.02256911,-0.08423201,-0.002405289,-0.002249481,-0.02352931,0.03443909,0.0209198,0.999176,0.03184593,-0.0005563812,-0.02257939,0.03184593,-0.0005563812,-0.02257939,0.06072998,0.02416992,0.9978485,0.06072998,0.02416992,0.9978485,2.730011,2.730011,True,True,True
3617642,63781060359650,-15.19282,2.768766,-0.9459212,-0.001865924,0.9961835,-0.02260176,-0.08428681,-0.002194199,-0.002239014,-0.02352138,0.03437805,0.02087402,0.999176,0.03184778,-0.0005564423,-0.02257494,0.03184778,-0.0005564423,-0.02257494,0.061203,0.02397156,0.9978333,0.061203,0.02397156,0.9978333,2.736725,2.736725,True,True,True
3617650,63781060359661,-15.19281,2.768726,-0.9459064,-0.001785087,0.9961858,-0.02252302,-0.08428144,-0.002132172,-0.002236328,-0.02352013,0.0342865,0.02104187,0.999176,0.03184872,-0.0005573884,-0.02257422,0.03184872,-0.0005573884,-0.02257422,0.06124878,0.02420044,0.997818,0.06124878,0.02420044,0.997818,2.73938,2.73938,True,True,True
3617658,63781060359672,-15.19283,2.768717,-0.9458667,-0.001753287,0.9961771,-0.02252784,-0.08438369,-0.001779221,-0.00221904,-0.02351032,0.03491211,0.02163696,0.9991455,0.03185013,-0.0005573884,-0.02257422,0.03185013,-0.0005573884,-0.02257422,0.06159973,0.02435303,0.9978027,0.06159973,0.02435303,0.9978027,2.754654,2.754654,True,True,True
3617667,63781060359672,-15.19283,2.768717,-0.9458667,-0.001753287,0.9961771,-0.02252784,-0.08438369,-0.001301499,-0.002195557,-0.02349619,0.03497314,0.02166748,0.9991455,0.03185057,-0.0005578156,-0.02257256,0.03185057,-0.0005578156,-0.02257256,0.0617981,0.02438354,0.9977875,0.0617981,0.02438354,0.9977875,2.754593,2.754593,True,True,True
3617675,63781060359683,-15.19285,2.768716,-0.9458697,-0.001764751,0.9961775,-0.02251309,-0.08438314,-0.0008026276,-0.002171097,-0.02348226,0.03552246,0.02185059,0.999115,0.0318517,-0.0005580902,-0.02257245,0.0318517,-0.0005580902,-0.02257245,0.06210327,0.02456665,0.997757,0.06210327,0.02456665,0.997757,2.772125,2.772125,True,True,True
3617683,63781060359694,-15.19288,2.768743,-0.9458457,-0.001622687,0.9961766,-0.02253716,-0.08439056,-0.000326889,-0.002147659,-0.02346858,0.03617859,0.02192688,0.9990997,0.0318522,-0.0005582428,-0.02257166,0.0318522,-0.0005582428,-0.02257166,0.06213379,0.02464294,0.997757,0.06213379,0.02464294,0.997757,2.777451,2.777451,True,True,True
3617692,63781060359705,-15.19293,2.76867,-0.9458321,-0.001661466,0.9961729,-0.02246913,-0.08445141,4.370117E-05,-0.002129715,-0.02345624,0.03660583,0.02220154,0.9990692,0.03185272,-0.0005583344,-0.02256923,0.03185272,-0.0005583344,-0.02256923,0.0625,0.02514648,0.9977264,0.0625,0.02514648,0.9977264,2.781235,2.781235,True,True,True
3617700,63781060359705,-15.19293,2.76867,-0.9458321,-0.001661466,0.9961729,-0.02246913,-0.08445141,0.0001721039,-0.002124359,-0.02345248,0.03688049,0.02203369,0.9990692,0.03185355,-0.0005583954,-0.02256889,0.03185355,-0.0005583954,-0.02256889,0.06271362,0.02514648,0.9977112,0.06271362,0.02514648,0.9977112,2.78241,2.78241,True,True,True
3617708,63781060359716,-15.19299,2.768659,-0.945839,-0.001675692,0.9961733,-0.02245977,-0.08444913,0.0002338867,-0.002121368,-0.02344899,0.0370636,0.02189636,0.9990692,0.03185411,-0.0005583344,-0.02256713,0.03185411,-0.0005583344,-0.02256713,0.06283569,0.02497864,0.9976959,0.06283569,0.02497864,0.9976959,2.780991,2.780991,True,True,True
3617717,63781060359727,-15.193,2.768709,-0.9458168,-0.001726033,0.9961488,-0.02260124,-0.08469927,0.0005451203,-0.002106384,-0.02343463,0.03790283,0.02168274,0.9990387,0.03185431,-0.0005583344,-0.02256713,0.03185431,-0.0005583344,-0.02256713,0.06265259,0.02497864,0.9977112,0.06265259,0.02497864,0.9977112,2.781311,2.781311,True,True,True
3617725,63781060359727,-15.193,2.768709,-0.9458168,-0.001726033,0.9961488,-0.02260124,-0.08469927,0.0007905884,-0.002095154,-0.02342717,0.03872681,0.02189636,0.9990082,0.03185565,-0.0005583344,-0.02256713,0.03185565,-0.0005583344,-0.02256713,0.06297302,0.0249939,0.9976959,0.06297302,0.0249939,0.9976959,2.782547,2.782547,True,True,True
3617733,63781060359749,-15.19318,2.768689,-0.9457276,-0.001884198,0.9961458,-0.02232889,-0.08480202,0.001114349,-0.002081833,-0.02341689,0.0398407,0.0221405,0.9989471,0.03185651,-0.0005583344,-0.02256713,0.03185651,-0.0005583344,-0.02256713,0.06317139,0.02438354,0.9976959,0.06317139,0.02438354,0.9976959,2.782104,2.782104,True,True,True
3617742,63781060359749,-15.19318,2.768689,-0.9457276,-0.001884198,0.9961458,-0.02232889,-0.08480202,0.00157782,-0.002059387,-0.02339885,0.04008484,0.02145386,0.9989624,0.0318568,-0.0005583344,-0.02256713,0.0318568,-0.0005583344,-0.02256713,0.06324768,0.02342224,0.9977112,0.06324768,0.02342224,0.9977112,2.781921,2.781921,True,True,True
3617750,63781060359761,-15.1932,2.768687,-0.945743,-0.001793233,0.9961438,-0.02232247,-0.08482981,0.001795853,-0.002048584,-0.0233911,0.04072571,0.02226257,0.9989166,0.03185706,-0.0005583954,-0.0225638,0.03185706,-0.0005583954,-0.0225638,0.06332397,0.02510071,0.9976654,0.06332397,0.02510071,0.9976654,2.786179,2.786179,True,True,True
3617758,63781060359772,-15.19322,2.768663,-0.9457371,-0.001798252,0.996141,-0.02225912,-0.08487868,0.001859116,-0.002046478,-0.02338924,0.040802,0.02246094,0.9989014,0.03185759,-0.0005583954,-0.0225638,0.03185759,-0.0005583954,-0.0225638,0.0634613,0.02507019,0.9976654,0.0634613,0.02507019,0.9976654,2.786011,2.786011,True,True,True
3617767,63781060359772,-15.19322,2.768663,-0.9457371,-0.001798252,0.996141,-0.02225912,-0.08487868,0.001804077,-0.002049225,-0.02339076,0.04103088,0.02255249,0.9989014,0.03185823,-0.0005583954,-0.0225638,0.03185823,-0.0005583954,-0.0225638,0.06361389,0.02510071,0.9976501,0.06361389,0.02510071,0.9976501,2.786118,2.786118,True,True,True
3617775,63781060359783,-15.19329,2.768715,-0.9456476,-0.001867532,0.9961367,-0.0222282,-0.08493639,0.001682678,-0.002055252,-0.02339411,0.04098511,0.02160645,0.9989166,0.03185884,-0.0005583954,-0.0225638,0.03185884,-0.0005583954,-0.0225638,0.06376648,0.02330017,0.9976807,0.06376648,0.02330017,0.9976807,2.785324,2.785324,True,True,True
3617783,63781060359794,-15.19334,2.768755,-0.9456459,-0.001982572,0.9961365,-0.02205095,-0.08498105,0.001437805,-0.002067993,-0.02340067,0.04052734,0.0214386,0.9989471,0.03185893,-0.0005595551,-0.02256345,0.03185893,-0.0005595551,-0.02256345,0.063797,0.02333069,0.9976807,0.063797,0.02333069,0.9976807,2.787369,2.787369,True,True,True
3617792,63781060359805,-15.19343,2.768794,-0.9456262,-0.002098594,0.9961355,-0.02192333,-0.08502375,0.001065567,-0.002085877,-0.02341109,0.04055786,0.02128601,0.9989471,0.03185959,-0.0005583954,-0.0225638,0.03185959,-0.0005583954,-0.0225638,0.06390381,0.02305603,0.9976807,0.06390381,0.02305603,0.9976807,2.785126,2.785126,True,True,True
3617800,63781060359805,-15.19343,2.768794,-0.9456262,-0.002098594,0.9961355,-0.02192333,-0.08502375,0.0008471527,-0.002097046,-0.02341712,0.04051208,0.02163696,0.9989319,0.03186032,-0.0005583038,-0.0225638,0.03186032,-0.0005583038,-0.0225638,0.06407166,0.02403259,0.9976501,0.06407166,0.02403259,0.9976501,2.785919,2.785919,True,True,True
3617808,63781060359816,-15.19349,2.768783,-0.9456655,-0.002328797,0.9961373,-0.02177929,-0.08503389,0.0006555024,-0.002106827,-0.02342444,0.03985596,0.02178955,0.9989624,0.03186046,-0.0005582886,-0.02256769,0.03186046,-0.0005582886,-0.02256769,0.06344604,0.02529907,0.9976501,0.06344604,0.02529907,0.9976501,2.786011,2.786011,True,True,True
3617817,63781060359827,-15.19354,2.768787,-0.9456656,-0.002552975,0.9961312,-0.02174412,-0.08510729,0.0007286835,-0.002102844,-0.02342693,0.03970337,0.02174377,0.9989624,0.03186074,-0.0005582886,-0.02256837,0.03186074,-0.0005582886,-0.02256837,0.06289673,0.02534485,0.9976959,0.06289673,0.02534485,0.9976959,2.787918,2.787918,True,True,True
3617825,63781060359838,-15.19362,2.768789,-0.9456902,-0.002710477,0.9961225,-0.02167007,-0.08522344,0.000655777,-0.00210614,-0.02343013,0.0400238,0.02134705,0.9989624,0.03186189,-0.0005582886,-0.02256844,0.03186189,-0.0005582886,-0.02256844,0.06317139,0.02539063,0.9976654,0.06317139,0.02539063,0.9976654,2.788101,2.788101,True,True,True
3617833,63781060359838,-15.19362,2.768789,-0.9456902,-0.002710477,0.9961225,-0.02167007,-0.08522344,0.0007683106,-0.002100586,-0.02342751,0.04055786,0.0209198,0.9989471,0.03186266,-0.0005583038,-0.02256937,0.03186266,-0.0005583038,-0.02256937,0.06401062,0.02450562,0.9976349,0.06401062,0.02450562,0.9976349,2.790817,2.790817,True,True,True
3617842,63781060359849,-15.19367,2.7688,-0.9456877,-0.002854772,0.9961101,-0.02173062,-0.08534857,0.0008841248,-0.002094162,-0.02342633,0.04116821,0.02149963,0.9989166,0.03186267,-0.0005583038,-0.02257057,0.03186267,-0.0005583038,-0.02257057,0.06417847,0.02563477,0.9976044,0.06417847,0.02563477,0.9976044,2.812927,2.812927,True,True,True
3617850,63781060359861,-15.19372,2.768804,-0.9457505,-0.002799531,0.9961035,-0.02172522,-0.08542921,0.0009978486,-0.00208812,-0.02342459,0.04075623,0.02113342,0.9989319,0.03186277,-0.0005577393,-0.02257068,0.03186277,-0.0005577393,-0.02257068,0.06358337,0.02496338,0.9976501,0.06358337,0.02496338,0.9976501,2.812668,2.812668,True,True,True
3617858,63781060359871,-15.19376,2.768783,-0.9456713,-0.00271884,0.9960824,-0.02176872,-0.08566517,0.001106201,-0.002081711,-0.02342381,0.03974915,0.02102661,0.9989777,0.03186315,-0.0005574494,-0.02257068,0.03186315,-0.0005574494,-0.02257068,0.06280518,0.02485657,0.9977112,0.06280518,0.02485657,0.9977112,2.812637,2.812637,True,True,True
3617867,63781060359871,-15.19376,2.768783,-0.9456713,-0.00271884,0.9960824,-0.02176872,-0.08566517,0.001105118,-0.002081558,-0.02342629,0.03941345,0.02119446,0.9989929,0.03186339,-0.00055719,-0.02257503,0.03186339,-0.00055719,-0.02257503,0.0615387,0.02511597,0.9977875,0.0615387,0.02511597,0.9977875,2.817703,2.817703,True,True,True
3617875,63781060359883,-15.19381,2.768747,-0.9456779,-0.002655648,0.9960756,-0.02168319,-0.08576911,0.00110994,-0.002081223,-0.02342737,0.03912354,0.02131653,0.9989929,0.03186345,-0.0005570832,-0.02257549,0.03186345,-0.0005570832,-0.02257549,0.06129456,0.025177,0.9977875,0.06129456,0.025177,0.9977875,2.817764,2.817764,True,True,True
3617883,63781060359894,-15.19388,2.768756,-0.9455968,-0.002614907,0.9960628,-0.02167998,-0.08591858,0.00110112,-0.002081512,-0.02342932,0.03890991,0.02056885,0.9990234,0.0318636,-0.0005570526,-0.02257549,0.0318636,-0.0005570526,-0.02257549,0.0612793,0.02474976,0.9978027,0.0612793,0.02474976,0.9978027,2.812531,2.812531,True,True,True
3617892,63781060359905,-15.19392,2.768734,-0.9456027,-0.002705344,0.9960628,-0.0217195,-0.08590697,0.0009053955,-0.002091217,-0.02343767,0.03913879,0.01957703,0.9990387,0.031864,-0.0005570526,-0.02258026,0.031864,-0.0005570526,-0.02258026,0.06126404,0.02276611,0.9978485,0.06126404,0.02276611,0.9978485,2.794418,2.794418,True,True,True
3617900,63781060359905,-15.19392,2.768734,-0.9456027,-0.002705344,0.9960628,-0.0217195,-0.08590697,0.0007330628,-0.002099701,-0.02345081,0.03851318,0.02035522,0.9990387,0.03186415,-0.0005569764,-0.02258989,0.03186415,-0.0005569764,-0.02258989,0.06130981,0.02394104,0.997818,0.06130981,0.02394104,0.997818,2.794739,2.794739,True,True,True
3617908,63781060359916,-15.19394,2.768703,-0.9456475,-0.002701166,0.9960562,-0.02180333,-0.08596192,0.0006132203,-0.002103867,-0.02346259,0.03886414,0.02067566,0.9990234,0.0318649,-0.0005566101,-0.0225979,0.0318649,-0.0005566101,-0.0225979,0.06149292,0.02433777,0.9978027,0.06149292,0.02433777,0.9978027,2.794785,2.794785,True,True,True
3617917,63781060359927,-15.19402,2.768695,-0.9457111,-0.002773535,0.9960513,-0.02181854,-0.08601205,0.0005458375,-0.002107223,-0.02346648,0.03851318,0.01992798,0.999054,0.03186559,-0.0005566101,-0.02259862,0.03186559,-0.0005566101,-0.02259862,0.06170654,0.022995,0.997818,0.06170654,0.022995,0.997818,2.815796,2.815796,True,True,True
3617925,63781060359938,-15.19404,2.768683,-0.9457462,-0.002854076,0.9960592,-0.02194709,-0.08588528,0.0006663056,-0.002101105,-0.02346573,0.03848267,0.02009583,0.999054,0.03186638,-0.0005564271,-0.02259998,0.03186638,-0.0005564271,-0.02259998,0.06140137,0.02293396,0.9978485,0.06140137,0.02293396,0.9978485,2.816315,2.816315,True,True,True
3617933,63781060359938,-15.19404,2.768683,-0.9457462,-0.002854076,0.9960592,-0.02194709,-0.08588528,0.0007173157,-0.002096558,-0.02346526,0.03913879,0.01879883,0.999054,0.03186832,-0.0005564271,-0.02259998,0.03186832,-0.0005564271,-0.02259998,0.06187439,0.02030945,0.9978638,0.06187439,0.02030945,0.9978638,2.815506,2.815506,True,True,True
3617942,63781060359950,-15.19401,2.768648,-0.9458722,-0.002882926,0.9960625,-0.02205386,-0.08581872,0.0006852112,-0.002097305,-0.02346741,0.0393219,0.01863098,0.9990387,0.03186877,-0.0005556488,-0.02260216,0.03186877,-0.0005556488,-0.02260216,0.06199646,0.02011108,0.9978638,0.06199646,0.02011108,0.9978638,2.815475,2.815475,True,True,True
3617950,63781060359961,-15.19403,2.768621,-0.9459032,-0.002843837,0.9960768,-0.02226023,-0.08560122,0.0006742707,-0.002097275,-0.02347119,0.03919983,0.01870728,0.999054,0.03186891,-0.000555008,-0.02260474,0.03186891,-0.000555008,-0.02260474,0.0617981,0.02009583,0.997879,0.0617981,0.02009583,0.997879,2.814758,2.814758,True,True,True
3617958,63781060359972,-15.19405,2.768572,-0.945935,-0.002689979,0.9960882,-0.0223913,-0.08543801,0.0008892518,-0.002086075,-0.0234715,0.03912354,0.0189209,0.999054,0.03186891,-0.000555008,-0.02260474,0.03186891,-0.000555008,-0.02260474,0.06164551,0.01972961,0.9978943,0.06164551,0.01972961,0.9978943,2.814835,2.814835,True,True,True
3617967,63781060359972,-15.19405,2.768572,-0.945935,-0.002689979,0.9960882,-0.0223913,-0.08543801,0.001234985,-0.002068237,-0.0234621,0.03990173,0.01864624,0.9990234,0.03186891,-0.000555008,-0.02260474,0.03186891,-0.000555008,-0.02260474,0.06163025,0.01968384,0.9978943,0.06163025,0.01968384,0.9978943,2.812363,2.812363,True,True,True
3617975,63781060359983,-15.19403,2.7686,-0.9459597,-0.002660287,0.9960977,-0.0224976,-0.0853013,0.001526901,-0.002053833,-0.0234529,0.03947449,0.01889038,0.9990387,0.03186891,-0.0005553436,-0.02260216,0.03186891,-0.0005553436,-0.02260216,0.0614624,0.01959229,0.9979095,0.0614624,0.01959229,0.9979095,2.812332,2.812332,True,True,True
3617983,63781060359994,-15.19404,2.768635,-0.9460688,-0.002563875,0.9961139,-0.02256005,-0.0850976,0.001796463,-0.002040436,-0.02344754,0.0397644,0.01931763,0.9990082,0.03186891,-0.0005553436,-0.02259998,0.03186891,-0.0005553436,-0.02259998,0.06161499,0.01989746,0.9978943,0.06161499,0.01989746,0.9978943,2.812515,2.812515,True,True,True
3617992,63781060360005,-15.19404,2.76861,-0.9461409,-0.002591762,0.99612,-0.02258286,-0.08501989,0.001916779,-0.002033463,-0.02344499,0.04016113,0.01855469,0.9990082,0.03186891,-0.0005553436,-0.02259862,0.03186891,-0.0005553436,-0.02259862,0.06161499,0.01982117,0.9978943,0.06161499,0.01982117,0.9978943,2.812515,2.812515,True,True,True
3618000,63781060360005,-15.19404,2.76861,-0.9461409,-0.002591762,0.99612,-0.02258286,-0.08501989,0.001822632,-0.002038071,-0.02344737,0.04032898,0.01837158,0.9990082,0.03186891,-0.0005556488,-0.0225979,0.03186891,-0.0005556488,-0.0225979,0.06176758,0.01980591,0.997879,0.06176758,0.01980591,0.997879,2.812622,2.812622,True,True,True
3618008,63781060360016,-15.19406,2.768594,-0.9462005,-0.002756048,0.9961303,-0.02251598,-0.08491152,0.001555206,-0.002049469,-0.02345476,0.04046631,0.01800537,0.9990082,0.03186891,-0.0005556488,-0.02259712,0.03186891,-0.0005556488,-0.02259712,0.06178284,0.01979065,0.997879,0.06178284,0.01979065,0.997879,2.81485,2.81485,True,True,True
3618017,63781060360027,-15.19405,2.768616,-0.9462275,-0.002831327,0.9961302,-0.02251184,-0.0849111,0.001782944,-0.002034256,-0.02346027,0.04045105,0.01817322,0.9990082,0.0318682,-0.0005566101,-0.02259604,0.0318682,-0.0005566101,-0.02259604,0.06161499,0.02009583,0.9978943,0.06161499,0.02009583,0.9978943,2.815079,2.815079,True,True,True
3618025,63781060360038,-15.19409,2.768668,-0.9462798,-0.002875122,0.9961246,-0.02251757,-0.08497384,0.001796616,-0.002032929,-0.02345787,0.04055786,0.01847839,0.9989929,0.03186815,-0.0005572815,-0.02258978,0.03186815,-0.0005572815,-0.02258978,0.06159973,0.01985168,0.9978943,0.06159973,0.01985168,0.9978943,2.815125,2.815125,True,True,True
3618033,63781060360049,-15.19414,2.768635,-0.9462966,-0.002999069,0.9961233,-0.02246397,-0.08499835,0.002268387,-0.00201004,-0.02344547,0.04055786,0.0194397,0.9989777,0.03186539,-0.0005581665,-0.02258942,0.03186539,-0.0005581665,-0.02258942,0.06105042,0.02149963,0.9978943,0.06105042,0.02149963,0.9978943,2.821777,2.821777,True,True,True
3618042,63781060360049,-15.19414,2.768635,-0.9462966,-0.002999069,0.9961233,-0.02246397,-0.08499835,0.002856812,-0.001980545,-0.023433,0.04101563,0.02000427,0.9989471,0.03186395,-0.0005609436,-0.02258682,0.03186395,-0.0005609436,-0.02258682,0.06150818,0.0227356,0.9978333,0.06150818,0.0227356,0.9978333,2.813629,2.813629,True,True,True
3618050,63781060360060,-15.19424,2.76865,-0.9462938,-0.002948564,0.9961243,-0.02240822,-0.0850039,0.003588165,-0.001940262,-0.02342133,0.04211426,0.02035522,0.9989014,0.03186368,-0.0005609436,-0.02257579,0.03186368,-0.0005609436,-0.02257579,0.06243896,0.02368164,0.997757,0.06243896,0.02368164,0.997757,2.814438,2.814438,True,True,True
3618058,63781060360071,-15.19426,2.76865,-0.9463419,-0.002854529,0.996114,-0.02253653,-0.0850933,0.004682648,-0.001884323,-0.02340021,0.0425415,0.02067566,0.9988708,0.03186316,-0.0005609436,-0.02257033,0.03186316,-0.0005609436,-0.02257033,0.0622406,0.02333069,0.9977875,0.0622406,0.02333069,0.9977875,2.805618,2.805618,True,True,True
3618067,63781060360071,-15.19426,2.76865,-0.9463419,-0.002854529,0.996114,-0.02253653,-0.0850933,0.01354858,-0.001434677,-0.02318245,0.05007935,0.02124023,0.9985046,0.03186315,-0.0005609436,-0.02257033,0.03186315,-0.0005609436,-0.02257033,0.06222534,0.02359009,0.9977722,0.06222534,0.02359009,0.9977722,2.804581,2.804581,True,True,True
3618075,63781060360083,-15.19423,2.768651,-0.9464406,-0.002745942,0.9961037,-0.02265625,-0.08518564,0.0122325,-0.001517288,-0.02317583,0.05953979,0.007995605,0.9981842,0.03174172,-0.0005329133,-0.02260942,0.03174172,-0.0005329133,-0.02260942,0.07467651,0.007202148,0.9971771,0.07467651,0.007202148,0.9971771,2.847519,2.847519,True,True,True
3618083,63781060360094,-15.19425,2.768631,-0.9464915,-0.002704017,0.9960937,-0.02265998,-0.08530341,0.03160295,-0.0005082092,-0.02273572,0.0975647,0.01036072,0.995163,0.03161182,-0.0005076752,-0.02273573,0.03161182,-0.0005076752,-0.02273573,0.09757996,0.01036072,0.995163,0.09757996,0.01036072,0.995163,2.731888,2.731888,True,True,True
3618092,63781060360105,-15.19427,2.768573,-0.9465427,-0.002780134,0.9960846,-0.02269727,-0.08539721,0.0315445,-0.0005946961,-0.02244948,0.1000519,0.009994507,0.9949188,0.0315445,-0.0005946961,-0.02244948,0.0315445,-0.0005946961,-0.02244948,0.1000519,0.009994507,0.9949188,0.1000519,0.009994507,0.9949188,2.830566,2.830566,True,True,True
3618100,63781060360116,-15.19441,2.768579,-0.9465704,-0.002795547,0.9960821,-0.02278116,-0.08540343,0.03154387,-0.0005942078,-0.02246915,0.0896759,0.01260376,0.9958801,0.03154387,-0.0005942078,-0.02246915,0.03154387,-0.0005942078,-0.02246915,0.0896759,0.01260376,0.9958801,0.0896759,0.01260376,0.9958801,2.645111,2.645111,True,True,True
3618108,63781060360116,-15.19441,2.768579,-0.9465704,-0.002795547,0.9960821,-0.02278116,-0.08540343,0.03155051,-0.0005912323,-0.02247501,0.0957489,0.01611328,0.9952698,0.03155051,-0.0005912323,-0.02247501,0.03155051,-0.0005912323,-0.02247501,0.0957489,0.01611328,0.9952698,0.0957489,0.01611328,0.9952698,2.674469,2.674469,True,True,True
3618117,63781060360127,-15.19443,2.768542,-0.9466273,-0.0029278,0.9960799,-0.02269658,-0.08544707,0.03155713,-0.0005882416,-0.02248087,0.0980835,0.01887512,0.9949951,0.03155713,-0.0005882416,-0.02248087,0.03155713,-0.0005882416,-0.02248087,0.0980835,0.01887512,0.9949951,0.0980835,0.01887512,0.9949951,2.703094,2.703094,True,True,True
3618125,63781060360138,-15.19449,2.768525,-0.9467083,-0.003010389,0.9960777,-0.02280899,-0.08543979,0.03155889,-0.0005844574,-0.02249362,0.1003418,0.01602173,0.994812,0.03155889,-0.0005844574,-0.02249362,0.03155889,-0.0005844574,-0.02249362,0.1003418,0.01602173,0.994812,0.1003418,0.01602173,0.994812,2.73259,2.73259,True,True,True
3618133,63781060360138,-15.19449,2.768525,-0.9467083,-0.003010389,0.9960777,-0.02280899,-0.08543979,0.03156063,-0.0005834809,-0.02249007,0.09936523,0.01651001,0.9949036,0.03156063,-0.0005834809,-0.02249007,0.03156063,-0.0005834809,-0.02249007,0.09936523,0.01651001,0.9949036,0.09936523,0.01651001,0.9949036,2.754852,2.754852,True,True,True
3618142,63781060360150,-15.19452,2.768526,-0.9467641,-0.002985989,0.9960863,-0.02287313,-0.08532303,0.03156105,-0.0005826264,-0.02249487,0.09873962,0.01579285,0.9949799,0.03156105,-0.0005826264,-0.02249487,0.03156105,-0.0005826264,-0.02249487,0.09873962,0.01579285,0.9949799,0.09873962,0.01579285,0.9949799,2.751343,2.751343,True,True,True
3618150,63781060360160,-15.19456,2.768495,-0.9467421,-0.002999092,0.9960908,-0.02280974,-0.08528639,0.03156146,-0.0005827637,-0.02249493,0.09815979,0.01594543,0.9950409,0.03156146,-0.0005827637,-0.02249493,0.03156146,-0.0005827637,-0.02249493,0.09815979,0.01594543,0.9950409,0.09815979,0.01594543,0.9950409,2.754669,2.754669,True,True,True
