UnityTS,heart,breath,GSR
63781141968323,32052,24505,186
63781141968332,31960,24433,175
63781141968338,31873,24252,186
63781141968356,31780,24033,191
63781141968358,31676,23854,192
63781141968369,31572,23692,217
63781141968385,31482,23518,188
63781141968388,31452,23336,179
63781141968403,31514,23114,186
63781141968412,31712,22824,187
63781141968416,32096,22578,192
63781141968431,32680,22362,213
63781141968441,33408,22194,187
63781141968451,34200,21985,186
63781141968466,35024,21840,188
63781141968470,35773,21539,218
63781141968485,36408,21251,187
63781141968489,36892,21091,204
63781141968505,37236,21068,188
63781141968509,37434,20731,193
63781141968524,37506,20813,186
63781141968530,37488,20605,188
63781141968547,37410,20602,201
63781141968550,37281,20441,189
63781141968563,37158,20437,191
63781141968569,37040,20254,186
63781141968585,36920,20149,176
63781141968589,36808,20026,184
63781141968604,36704,20012,185
63781141968608,36586,20164,182
63781141968624,36450,20241,176
63781141968651,36264,20324,181
63781141968678,36068,20341,167
63781141968689,35840,20290,214
63781141968691,35628,20464,185
63781141968694,35430,20525,185
63781141968696,35264,20548,177
63781141968699,35130,20636,177
63781141968701,35024,20621,184
63781141968718,34936,20850,182
63781141968721,34840,20961,181
63781141968731,34748,21040,203
63781141968738,34658,21209,161
63781141968753,34576,21236,178
63781141968759,34480,21312,185
63781141968775,34362,21396,190
63781141968786,34256,21676,215
63781141968793,34135,21683,163
63781141968803,34024,21788,179
63781141968806,33904,21918,184
63781141968823,33786,21962,210
63781141968829,33676,22048,201
63781141968844,33552,22148,183
63781141968848,33440,22201,205
63781141968883,33304,22321,207
63781141968886,33180,22340,182
63781141968886,33052,22474,199
63781141968889,32930,22557,177
63781141968905,32836,22706,178
63781141968909,32750,22624,180
63781141968924,32692,22736,176
63781141968928,32645,22702,180
63781141968944,32616,22776,140
63781141968948,32576,22796,187
63781141968963,32555,22750,163
63781141968973,32529,22757,152
63781141968988,32496,22720,164
63781141968990,32464,22696,185
63781141969023,32426,22792,174
63781141969023,32354,22822,185
63781141969040,32264,22928,168
63781141969043,32149,23016,169
63781141969045,32020,23086,204
63781141969051,31876,23368,186
63781141969058,31705,23433,176
63781141969073,31548,23614,181
63781141969079,31385,23804,176
63781141969089,31212,23989,176
63781141969105,31049,24160,185
63781141969109,30912,24328,176
63781141969124,30796,24536,173
63781141969128,30704,24716,168
63781141969144,30680,24926,182
63781141969148,30790,25125,170
63781141969163,31048,25312,169
63781141969173,31500,25553,176
63781141969184,32136,25720,174
63781141969190,32929,25918,167
63781141969200,33808,26135,187
63781141969210,34676,26372,204
63781141969224,35490,26508,175
63781141969231,36168,26585,203
63781141969241,36698,26726,172
63781141969248,37052,26932,173
63781141969274,37268,27036,162
63781141969276,37352,27084,168
63781141969279,37340,27164,198
63781141969294,37268,27326,183
63781141969299,37150,27432,166
63781141969314,37012,27488,203
63781141969331,36870,27536,174
63781141969331,36724,27804,177
63781141969344,36596,27884,170
63781141969350,36461,28186,144
63781141969385,36308,28336,169
63781141969408,36133,28592,175
63781141969410,35924,28752,161
63781141969413,35704,28984,205
63781141969415,35488,29214,167
63781141969418,35324,29468,171
63781141969421,35196,29761,164
63781141969436,35114,30008,168
63781141969440,35072,30374,172
63781141969461,35036,30692,177
63781141969461,35024,31040,177
63781141969471,35016,31424,203
63781141969481,34992,31716,174
63781141969491,34941,31930,166
63781141969524,34872,32362,160
63781141969529,34780,32772,166
63781141969529,34652,33068,208
63781141969531,34513,33392,204
63781141969543,34336,33730,204
63781141969553,34148,33997,145
63781141969563,33908,34096,171
63781141969569,33674,34432,168
63781141969585,33416,34813,199
63781141969589,33156,35521,197
63781141969604,32914,35856,175
63781141969608,32668,36292,162
63781141969626,32460,36912,166
63781141969630,32260,37272,165
63781141969640,32117,37644,180
63781141969650,32008,38304,154
63781141969661,31928,38602,155
63781141969671,31897,38992,153
63781141969681,31884,39208,161
63781141969691,31896,39822,149
63781141969698,31908,39996,150
63781141969713,31912,40320,152
63781141969721,31904,40464,159
63781141969749,31864,40600,157
63781141969779,31778,41386,137
63781141969781,31657,41344,184
63781141969784,31512,42060,160
63781141969788,31316,42268,160
63781141969788,31114,42645,147
63781141969790,30904,42728,142
63781141969800,30716,43384,158
63781141969815,30549,43704,185
63781141969819,30396,43944,144
63781141969836,30292,44282,187
63781141969839,30244,44720,135
63781141969854,30241,44842,175
63781141969857,30289,44992,149
63781141969873,30364,45068,151
63781141969883,30484,45072,149
63781141969889,30610,44906,159
63781141969905,30736,44978,120
63781141969909,30872,45043,89
63781141969924,31025,44938,144
63781141969929,31238,44592,150
63781141969945,31544,44384,145
63781141969949,31996,44112,157
63781141969972,32592,43646,150
63781141969973,33312,43348,146
63781141969979,34132,42704,174
63781141969994,34960,42496,145
63781141970000,35716,41996,170
63781141970015,36342,41816,156
63781141970019,36800,41500,160
63781141970034,37080,41472,160
63781141970039,37172,41422,155
63781141970054,37107,41470,164
63781141970060,36890,41388,197
63781141970075,36580,41436,180
63781141970079,36200,41672,163
63781141970125,35816,41508,153
63781141970125,35448,41824,152
63781141970152,35104,41476,166
63781141970176,34824,41776,169
63781141970179,34580,42000,152
63781141970181,34385,42032,186
63781141970184,34208,42408,157
63781141970186,34040,42464,157
63781141970191,33888,42732,177
63781141970194,33728,43152,181
63781141970196,33604,43192,142
63781141970200,33519,43662,150
63781141970210,33457,44036,108
