UnityTS,heart,breath,GSR
63780713502665,32864,28936,1579
63780713501625,32448,33890,1312
63780713501628,32420,33920,1278
63780713501630,32398,33800,1295
63780713501633,32376,33649,1275
63780713501635,32377,33500,1269
63780713501638,32371,33464,1271
63780713501638,32360,33204,1267
63780713501640,32362,33252,1306
63780713501643,32364,32996,1268
63780713501648,32368,32900,1268
63780713501657,32372,32512,1280
63780713501673,32376,32576,1286
63780713501683,32368,32176,1273
63780713501687,32362,32048,1271
63780713501690,32352,32108,1270
63780713501721,32348,32010,1274
63780713501721,32340,31936,1276
63780713501721,32352,31672,1281
63780713501721,32352,31841,1275
63780713501721,32400,31672,1300
63780713501721,32500,31900,1313
63780713501721,32684,31646,1274
63780713501722,32922,31844,1277
63780713501722,33212,31566,1288
63780713501722,33484,31745,1278
63780713501722,33728,31648,1280
63780713501722,33920,31620,1273
63780713501722,34052,31360,1273
63780713501722,34102,31368,1296
63780713501722,34093,31416,1277
63780713501722,34029,31144,1270
63780713501722,33920,31268,1273
63780713501722,33780,31116,1276
63780713501722,33634,31040,1275
63780713501722,33488,31000,1292
63780713501722,33336,30773,1292
63780713501722,33208,30752,1314
63780713501722,33084,30788,1310
63780713501722,32988,30492,1278
63780713501722,32892,30413,1277
63780713501722,32796,30466,1276
63780713501722,32705,30272,1308
63780713501722,32633,30086,1289
63780713501722,32568,30032,1314
63780713501722,32520,30095,1288
63780713501722,32504,29856,1290
63780713501722,32508,29854,1275
63780713501722,32528,29792,1270
63780713501722,32584,29664,1269
63780713501722,32640,29552,1295
63780713501722,32704,29381,1297
63780713501722,32752,29416,1282
63780713501722,32804,29170,1276
63780713501722,32833,29209,1269
63780713501722,32832,29136,1297
63780713501722,32826,29021,1296
63780713501722,32792,28896,1283
63780713501722,32764,28840,1307
63780713501722,32712,28858,1300
63780713501722,32656,28772,1279
63780713501722,32592,28660,1269
63780713501722,32536,28600,1277
63780713501722,32478,28568,1278
63780713501722,32417,28464,1291
63780713501722,32361,28433,1281
63780713501722,32313,28406,1277
63780713501722,32276,28376,1301
63780713501722,32248,28328,1305
63780713501722,32210,28332,1295
63780713501722,32200,28260,1287
63780713501722,32176,28160,1295
63780713501722,32172,28164,1274
63780713501722,32171,28108,1277
63780713501723,32165,28094,1280
63780713501723,32162,28036,1283
63780713501723,32162,28112,1294
63780713501723,32161,28111,1294
63780713501723,32184,28132,1305
63780713501723,32188,28038,1306
63780713501723,32202,28005,1286
63780713501723,32203,28012,1280
63780713501725,32205,27936,1293
63780713501725,32196,27838,1310
63780713501725,32184,27864,1296
63780713501725,32184,27796,1286
63780713501725,32177,27754,1318
63780713501725,32168,27784,1302
63780713501725,32184,27804,1292
63780713501725,32246,27820,1291
63780713501725,32392,27800,1324
63780713501725,32624,27880,1298
63780713501725,32908,27880,1300
63780713501725,33233,27950,1332
63780713501725,33521,27976,1298
63780713501725,33776,28024,1307
63780713501725,33960,28036,1327
63780713501725,34060,28069,1347
63780713501725,34094,28086,1308
63780713501725,34068,28102,1322
63780713501725,33984,28094,1318
63780713501727,33852,28089,1316
63780713501727,33704,28092,1337
63780713501729,33552,28096,1325
63780713501732,33400,28090,1336
63780713501734,33256,28120,1318
63780713501737,33132,28112,1324
63780713501739,33040,28137,1351
63780713501742,32970,28110,1355
63780713501744,32909,28116,1345
63780713501747,32844,28082,1344
63780713501754,32779,28037,1329
63780713501765,32716,28052,1342
63780713501800,32656,28000,1336
63780713501803,32616,28032,1338
63780713501842,32592,28018,1345
63780713501855,32594,28042,1373
63780713501858,32609,28053,1341
63780713501860,32632,28066,1346
63780713501863,32664,28027,1359
63780713501865,32700,28054,1390
63780713501869,32728,28113,1376
63780713501869,32765,28144,1371
63780713501871,32782,28174,1362
63780713501888,32784,28200,1367
63780713501892,32768,28320,1363
63780713501907,32726,28314,1384
63780713501910,32672,28382,1374
63780713501929,32604,28404,1380
63780713501934,32532,28352,1394
63780713501944,32458,28416,1373
63780713501959,32386,28404,1390
63780713501963,32316,28342,1408
63780713501978,32256,28425,1398
63780713501994,32208,28392,1411
63780713501994,32168,28312,1392
63780713502005,32144,28339,1401
63780713502015,32114,28248,1415
63780713502025,32100,28298,1405
63780713502035,32100,28221,1417
63780713502039,32090,28206,1438
63780713502054,32092,28179,1427
63780713502064,32096,28092,1428
63780713502074,32112,28136,1434
63780713502085,32134,28109,1430
63780713502095,32148,28081,1433
63780713502105,32168,28040,1447
63780713502125,32184,28008,1453
63780713502125,32184,28000,1444
63780713502129,32177,27980,1445
63780713502146,32160,28026,1452
63780713502150,32156,27969,1453
63780713502170,32158,27977,1477
63780713502195,32149,27952,1468
63780713502218,32164,27888,1474
63780713502218,32180,27834,1473
63780713502220,32178,27744,1472
63780713502223,32184,27688,1492
63780713502225,32200,27637,1496
63780713502233,32208,27536,1480
63780713502245,32228,27516,1477
63780713502251,32240,27450,1484
63780713502266,32296,27456,1485
63780713502270,32392,27425,1484
63780713502285,32568,27440,1503
63780713502298,32832,27435,1493
63780713502301,33144,27434,1499
63780713502311,33476,27444,1494
63780713502326,33777,27454,1506
63780713502330,34053,27448,1509
63780713502345,34236,27463,1503
63780713502351,34348,27453,1516
63780713502361,34388,27504,1533
63780713502377,34344,27467,1557
63780713502381,34249,27492,1537
63780713502396,34112,27497,1521
63780713502402,33956,27500,1537
63780713502440,33792,27506,1534
63780713502446,33624,27508,1553
63780713502449,33476,27539,1535
63780713502451,33358,27564,1560
63780713502454,33256,27552,1555
63780713502465,33180,27612,1544
63780713502475,33114,27600,1553
63780713502485,33052,27636,1557
63780713502489,33008,27663,1549
63780713502504,32968,27705,1554
63780713502514,32920,27738,1559
63780713502524,32880,27753,1557
63780713502535,32848,27806,1581
63780713502564,32834,27845,1577
63780713502590,32834,27898,1559
63780713502596,32860,27938,1575
63780713502599,32880,27988,1568
63780713502601,32922,28035,1573
63780713502604,32952,28106,1577
63780713502606,32986,28176,1580
63780713502613,32994,28260,1591
63780713502636,33004,28360,1581
63780713502636,32976,28484,1577
63780713502640,32952,28652,1599
63780713502659,32912,28798,1598
63780713502665,32864,28936,1579
63780713502691,32808,29220,1585
63780713502694,32736,29356,1608
63780713502696,32672,29541,1592
63780713502703,32602,29816,1613
63780713502713,32554,30010,1608
63780713502728,32485,30457,1586
