UnityTS,heart,breath,GSR
63780712394439,32372,41416,2893
63780712394441,32362,41256,2894
63780712394444,32368,41348,2892
63780712394470,32364,41460,2902
63780712394474,32356,41524,2892
63780712394478,32359,41616,2929
63780712393398,31916,31332,2873
63780712393400,31928,31349,2873
63780712393403,31994,31355,2864
63780712393405,32120,31384,2868
63780712393408,32312,31360,2894
63780712393410,32570,31326,2876
63780712393410,32845,31304,2878
63780712393413,33112,31336,2874
63780712393415,33344,31108,2877
63780712393429,33522,31160,2891
63780712393430,33642,31237,2898
63780712393457,33677,31256,2871
63780712393482,33658,31214,2890
63780712393484,33592,31049,2874
63780712393487,33482,31244,2899
63780712393501,33344,31005,2870
63780712393501,33200,31016,2879
63780712393501,33052,31186,2877
63780712393501,32905,31242,2881
63780712393502,32768,31202,2869
63780712393502,32642,31064,2871
63780712393502,32524,31060,2894
63780712393502,32424,31264,2868
63780712393502,32320,31266,2885
63780712393502,32216,31118,2870
63780712393502,32142,31096,2875
63780712393502,32096,31376,2871
63780712393502,32076,31137,2886
63780712393502,32084,31208,2865
63780712393502,32116,31401,2882
63780712393502,32184,31152,2862
63780712393502,32272,31281,2870
63780712393502,32368,31426,2890
63780712393502,32488,31235,2883
63780712393502,32592,31298,2901
63780712393502,32690,31306,2873
63780712393502,32764,31504,2894
63780712393502,32812,31576,2905
63780712393502,32838,31370,2885
63780712393502,32810,31580,2884
63780712393502,32774,31656,2875
63780712393502,32710,31636,2912
63780712393502,32610,31632,2884
63780712393502,32524,31508,2882
63780712393502,32424,31499,2876
63780712393502,32314,31472,2889
63780712393502,32218,31654,2884
63780712393502,32128,31652,2880
63780712393502,32032,31638,2880
63780712393502,31960,31685,2885
63780712393502,31888,31565,2908
63780712393502,31842,31788,2877
63780712393502,31804,31528,2892
63780712393502,31776,31556,2892
63780712393502,31760,31568,2888
63780712393502,31760,31766,2913
63780712393502,31768,31880,2896
63780712393502,31769,31885,2887
63780712393502,31789,31876,2896
63780712393502,31800,31868,2908
63780712393502,31828,31666,2908
63780712393502,31832,31634,2919
63780712393502,31846,31784,2897
63780712393502,31848,31700,2940
63780712393502,31852,31678,2900
63780712393502,31848,31488,2919
63780712393502,31841,31612,2918
63780712393502,31832,31546,2912
63780712393502,31838,31588,2898
63780712393502,31870,31508,2897
63780712393503,31928,31270,2923
63780712393503,32058,31508,2913
63780712393503,32264,31212,2915
63780712393503,32528,31252,2915
63780712393503,32832,31161,2925
63780712393503,33124,31312,2906
63780712393503,33389,31083,2901
63780712393503,33592,31292,2926
63780712393503,33736,31260,2905
63780712393503,33808,31250,2898
63780712393503,33813,31098,2908
63780712393505,33760,31244,2911
63780712393505,33676,31104,2904
63780712393505,33552,31109,2926
63780712393505,33428,31284,2918
63780712393505,33296,31344,2919
63780712393505,33158,31237,2901
63780712393505,33048,31496,2917
63780712393505,32952,31524,2927
63780712393505,32864,31571,2930
63780712393505,32762,31408,2906
63780712393505,32673,31648,2931
63780712393505,32592,31520,2918
63780712393505,32520,31730,2922
63780712393505,32476,31668,2918
63780712393505,32448,31828,2934
63780712393505,32444,31632,2915
63780712393505,32472,31881,2904
63780712393505,32536,31872,2903
63780712393505,32616,31968,2902
63780712393507,32696,31964,2906
63780712393507,32781,32008,2903
63780712393509,32872,32062,2930
63780712393509,32944,32172,2910
63780712393512,32984,32232,2915
63780712393514,32994,32384,2924
63780712393517,33000,32440,2932
63780712393517,32968,32552,2902
63780712393519,32919,32746,2904
63780712393522,32860,32842,2954
63780712393524,32795,32980,2929
63780712393534,32712,33068,2924
63780712393544,32633,33257,2908
63780712393555,32540,33329,2910
63780712393562,32460,33404,2902
63780712393574,32385,33560,2914
